store_name,business_category,permission_date,situation,address,address_road,new_store_name
30년할매닭발 한림점,기타,2020-08-03,영업,제주특별자치도 제주시 한림읍 한림리 1305-18,"제주특별자치도 제주시 한림읍 한림로 690, 1층",30년할매닭발 한림점  제주시 한림읍 한림로 690
오례밥집,기타,2020-08-03,영업,제주특별자치도 제주시 조천읍 함덕리 1752-2 에덴빌리지2차,"제주특별자치도 제주시 조천읍 조천우회로 527, 202동 1층 102호 (에덴빌리지2차)",오례밥집  제주시 조천읍 조천우회로 527
미트서플라이,기타,2020-08-03,영업,제주특별자치도 제주시 조천읍 선흘리 2077-6,"제주특별자치도 제주시 조천읍 선교로 149, 제2동 1층",미트서플라이  제주시 조천읍 선교로 149
소담키친,기타,2020-08-03,영업,제주특별자치도 제주시 애월읍 하귀2리 1310-1,"제주특별자치도 제주시 애월읍 항몽로 34, 1층",소담키친  제주시 애월읍 항몽로 34
아리아식당,기타,2020-01-16,영업,제주특별자치도 제주시 한경면 고산리 3605-2번지 차귀낚시점,"제주특별자치도 제주시 한경면 노을해안로 1174, 마동 1층",아리아식당  제주시 한경면 노을해안로 1174
제주김마리,기타,2020-01-16,영업,제주특별자치도 제주시 노형동 709 에코트윈,"제주특별자치도 제주시 1100로 3308, 에코트윈 2층 203호 (노형동)",제주김마리  제주시 1100로 3308
맘스터치피자앤치킨신제주점,기타,2020-01-16,영업,제주특별자치도 제주시 노형동 914-7,"제주특별자치도 제주시 노연로 37-1, 1층 (노형동)",맘스터치피자앤치킨신제주점  제주시 노연로 37-1
오라회센타,기타,2020-01-16,영업,제주특별자치도 제주시 오라이동 1479번지,"제주특별자치도 제주시 연사3길 10, 1층 제1호 (오라이동)",오라회센타  제주시 연사3길 10
이치진외도직영점,기타,2020-01-16,영업,제주특별자치도 제주시 외도일동 445-3번지,"제주특별자치도 제주시 우정로4길 3-5, 1층 (외도일동)",이치진외도직영점  제주시 우정로4길 3-5
열정국밥,기타,2020-01-06,영업,제주특별자치도 제주시 연동 2318-5 조양빌라트,"제주특별자치도 제주시 성신로 18-5, 지하1층 001호 (연동, 조양빌라트)",열정국밥  제주시 성신로 18-5
