,store_name,permission_date,situation,address,address_road,new_store_name,trans_ad,trans_ad_road,x,y
0,30년할매닭발 한림점,2020-08-03,영업,제주특별자치도 제주시 한림읍 한림리 1305-18,"제주특별자치도 제주시 한림읍 한림로 690, 1층",30년할매닭발 한림점  제주시 한림읍 한림로 690, 제주시 한림읍 한림리 1305-18, 제주시 한림읍 한림로 690,126.265159949,33.416323832
1,오례밥집,2020-08-03,영업,제주특별자치도 제주시 조천읍 함덕리 1752-2 에덴빌리지2차,"제주특별자치도 제주시 조천읍 조천우회로 527, 202동 1층 102호 (에덴빌리지2차)",오례밥집  제주시 조천읍 조천우회로 527, 제주시 조천읍 함덕리 1752-2 에덴빌리지2차, 제주시 조천읍 조천우회로 527,126.665759299,33.530635459
2,미트서플라이,2020-08-03,영업,제주특별자치도 제주시 조천읍 선흘리 2077-6,"제주특별자치도 제주시 조천읍 선교로 149, 제2동 1층",미트서플라이  제주시 조천읍 선교로 149, 제주시 조천읍 선흘리 2077-6, 제주시 조천읍 선교로 149,126.703676524,33.487314908
3,소담키친,2020-08-03,영업,제주특별자치도 제주시 애월읍 하귀2리 1310-1,"제주특별자치도 제주시 애월읍 항몽로 34, 1층",소담키친  제주시 애월읍 항몽로 34, 제주시 애월읍 하귀2리 1310-1, 제주시 애월읍 항몽로 34,126.405330595,33.480620250
4,아리아식당,2020-01-16,영업,제주특별자치도 제주시 한경면 고산리 3605-2번지 차귀낚시점,"제주특별자치도 제주시 한경면 노을해안로 1174, 마동 1층",아리아식당  제주시 한경면 노을해안로 1174, 제주시 한경면 고산리 3605-2번지 차귀낚시점, 제주시 한경면 노을해안로 1174,126.165715327,33.308177764
5,제주김마리,2020-01-16,영업,제주특별자치도 제주시 노형동 709 에코트윈,"제주특별자치도 제주시 1100로 3308, 에코트윈 2층 203호 (노형동)",제주김마리  제주시 1100로 3308, 제주시 노형동 709 에코트윈, 제주시 1100로 3308,126.481707278,33.481661800
6,맘스터치피자앤치킨신제주점,2020-01-16,영업,제주특별자치도 제주시 노형동 914-7,"제주특별자치도 제주시 노연로 37-1, 1층 (노형동)",맘스터치피자앤치킨신제주점  제주시 노연로 37-1, 제주시 노형동 914-7, 제주시 노연로 37-1,126.484186934,33.486240938
7,오라회센타,2020-01-16,영업,제주특별자치도 제주시 오라이동 1479번지,"제주특별자치도 제주시 연사3길 10, 1층 제1호 (오라이동)",오라회센타  제주시 연사3길 10, 제주시 오라이동 1479번지, 제주시 연사3길 10,126.511875335,33.488314131
8,이치진외도직영점,2020-01-16,영업,제주특별자치도 제주시 외도일동 445-3번지,"제주특별자치도 제주시 우정로4길 3-5, 1층 (외도일동)",이치진외도직영점  제주시 우정로4길 3-5, 제주시 외도일동 445-3번지, 제주시 우정로4길 3-5,126.430426745,33.490837297
9,열정국밥,2020-01-06,영업,제주특별자치도 제주시 연동 2318-5 조양빌라트,"제주특별자치도 제주시 성신로 18-5, 지하1층 001호 (연동, 조양빌라트)",열정국밥  제주시 성신로 18-5, 제주시 연동 2318-5 조양빌라트, 제주시 성신로 18-5,126.485847018,33.492029530
10,유창호횟집,2020-01-17,영업,제주특별자치도 제주시 삼도일동 787-25,"제주특별자치도 제주시 서사로 78, 1층 (삼도일동)",유창호횟집  제주시 서사로 78, 제주시 삼도일동 787-25, 제주시 서사로 78,126.519709245,33.505520714
11,문갤러리,2020-01-17,영업,제주특별자치도 제주시 이도일동 1790-8번지,"제주특별자치도 제주시 서광로29길 22-6, 1층 (이도일동)",문갤러리  제주시 서광로29길 22-6, 제주시 이도일동 1790-8번지, 제주시 서광로29길 22-6,126.526842332,33.502211372
12,크로엔젤제주연동점,2020-01-17,영업,제주특별자치도 제주시 연동 302-3,"제주특별자치도 제주시 신대로 104, A동 1층 (연동)",크로엔젤제주연동점  제주시 신대로 104, 제주시 연동 302-3, 제주시 신대로 104,126.495895023,33.487974478
13,원플러스원,2020-01-02,영업,제주특별자치도 제주시 연동 272-33번지 로얄쇼핑센타및오피스텔,"제주특별자치도 제주시 신대로12길 51, 로얄쇼핑센타및오피스텔 지하2층 25~26호 (연동)",원플러스원  제주시 신대로12길 51, 제주시 연동 272-33번지 로얄쇼핑센타및오피스텔, 제주시 신대로12길 51,126.491114200,33.488599032
14,찬미숯불갈비,2020-01-02,영업,제주특별자치도 제주시 삼양이동 2146-2,"제주특별자치도 제주시 지석2길 13-4, 1층 (삼양이동)",찬미숯불갈비  제주시 지석2길 13-4, 제주시 삼양이동 2146-2, 제주시 지석2길 13-4,126.579601015,33.520160686
15,2도비어이도점,2020-01-03,영업,제주특별자치도 제주시 이도이동 1948-10,"제주특별자치도 제주시 신설로7길 25, 1층 (이도이동)",2도비어이도점  제주시 신설로7길 25, 제주시 이도이동 1948-10, 제주시 신설로7길 25,126.544625666,33.493857346
16,골프존파크함덕메이저퀸,2020-01-03,영업,제주특별자치도 제주시 조천읍 함덕리 951-1번지,"제주특별자치도 제주시 조천읍 함덕18길 19, 3층",골프존파크함덕메이저퀸  제주시 조천읍 함덕18길 19, 제주시 조천읍 함덕리 951-1번지, 제주시 조천읍 함덕18길 19,126.670223418,33.539473543
17,선하다선,2020-01-03,영업,제주특별자치도 제주시 조천읍 선흘리 2816-1 제주다온,"제주특별자치도 제주시 조천읍 북선로 322-15, 제주다온 비동 1층",선하다선  제주시 조천읍 북선로 322-15, 제주시 조천읍 선흘리 2816-1 제주다온, 제주시 조천읍 북선로 322-15,126.695688302,33.512647378
18,옛날국수갤러리,2020-02-18,영업,제주특별자치도 제주시 한경면 고산리 2634-9번지,"제주특별자치도 제주시 한경면 고산로 73, 1층",옛날국수갤러리  제주시 한경면 고산로 73, 제주시 한경면 고산리 2634-9번지, 제주시 한경면 고산로 73,126.177947132,33.307438013
19,시시한덮밥,2020-02-18,영업,제주특별자치도 제주시 아라일동 6127-10,"제주특별자치도 제주시 인다11길 13, 1층 (아라일동)",시시한덮밥  제주시 인다11길 13, 제주시 아라일동 6127-10, 제주시 인다11길 13,126.548933882,33.474060429
20,너와의첫여행,2020-02-11,영업,제주특별자치도 제주시 애월읍 장전리 1132-1번지,"제주특별자치도 제주시 애월읍 장소로 16, 1층",너와의첫여행  제주시 애월읍 장소로 16, 제주시 애월읍 장전리 1132-1번지, 제주시 애월읍 장소로 16,126.384543630,33.450628302
