,store_name,permission_date,situation,address,address_road,new_store_name,trans_ad,trans_ad_road,x,y
0,어른아이책방,2023-08-14,영업,제주특별자치도 제주시 구좌읍 동복리 1682-2,"제주특별자치도 제주시 구좌읍 일주동로 1640, 1층","어른아이책방 제주특별자치도 제주시 구좌읍 일주동로 1640, 1층",동복리 1682-2,"일주동로 1640,",126.707554522,33.552226890
1,몽탄제주점,2023-08-21,영업,제주특별자치도 제주시 구좌읍 동복리 1568-1,"제주특별자치도 제주시 구좌읍 동복로 83, 1층","몽탄제주점 제주특별자치도 제주시 구좌읍 동복로 83, 1층",동복리 1568-1,"동복로 83,",126.715045101,33.553638001
2,제주어른이집,2023-08-28,영업,제주특별자치도 제주시 구좌읍 김녕리 2540,"제주특별자치도 제주시 구좌읍 김녕로4길 30, 2층","제주어른이집 제주특별자치도 제주시 구좌읍 김녕로4길 30, 2층",김녕리 2540,"김녕로4길 30,",126.744138801,33.552628184
3,캐나다삼춘,2023-08-07,영업,제주특별자치도 제주시 구좌읍 송당리 1352-5,"제주특별자치도 제주시 구좌읍 송당1길 26, 1층","캐나다삼춘 제주특별자치도 제주시 구좌읍 송당1길 26, 1층",송당리 1352-5,"송당1길 26,",126.782342704,33.472661621
4,글뤽,2023-08-17,영업,제주특별자치도 제주시 구좌읍 상도리 471-29,"제주특별자치도 제주시 구좌읍 해녀박물관길 28, 1층","글뤽 제주특별자치도 제주시 구좌읍 해녀박물관길 28, 1층",상도리 471-29,"해녀박물관길 28,",126.862606866,33.523485606
5,술한잔,2023-08-09,영업,제주특별자치도 제주시 구좌읍 세화리 3643-15,"제주특별자치도 제주시 구좌읍 세화1길 32, 나동 1층","술한잔 제주특별자치도 제주시 구좌읍 세화1길 32, 나동 1층",세화리 3643-15,"세화1길 32,",126.855173374,33.526111310
6,카페오길,2023-07-14,영업,제주특별자치도 제주시 구좌읍 평대리 677-1,"제주특별자치도 제주시 구좌읍 평대5길 40, 1층 및 제1동 1층","카페오길 제주특별자치도 제주시 구좌읍 평대5길 40, 1층 및 제1동 1층",평대리 677-1,"평대5길 40,",126.842139707,33.531807863
7,새김,2023-07-03,영업,제주특별자치도 제주시 구좌읍 김녕리 116-8,"제주특별자치도 제주시 구좌읍 일주동로 2253, 1층","새김 제주특별자치도 제주시 구좌읍 일주동로 2253, 1층",김녕리 116-8,"일주동로 2253,",126.771185724,33.551051851
8,놀놀,2023-07-03,영업,제주특별자치도 제주시 구좌읍 평대리 3283-2,"제주특별자치도 제주시 구좌읍 비자림로 2228, A동 1층","놀놀 제주특별자치도 제주시 구좌읍 비자림로 2228, A동 1층",평대리 3283-2,"비자림로 2228,",126.806867300,33.494571079
9,올데이피자서비스제주월정점,2023-07-03,영업,제주특별자치도 제주시 구좌읍 월정리 539,"제주특별자치도 제주시 구좌읍 해맞이해안로 460, 1층","올데이피자서비스제주월정점 제주특별자치도 제주시 구좌읍 해맞이해안로 460, 1층",월정리 539,"해맞이해안로 460,",126.795784455,33.555582869
10,비자블라썸시즌2,2023-09-04,영업,제주특별자치도 제주시 구좌읍 평대리 3210-4,"제주특별자치도 제주시 구좌읍 비자림로 2244, 1층","비자블라썸시즌2 제주특별자치도 제주시 구좌읍 비자림로 2244, 1층",평대리 3210-4,"비자림로 2244,",126.808969137,33.494926026
11,비자,2023-07-19,영업,제주특별자치도 제주시 구좌읍 평대리 3186,"제주특별자치도 제주시 구좌읍 다랑쉬북로 34, 주1동 1층","비자 제주특별자치도 제주시 구좌읍 다랑쉬북로 34, 주1동 1층",평대리 3186,"다랑쉬북로 34,",126.810466993,33.492936027
