store_name,date,visits
30년할매닭발 한림점,2020-08-29,1
30년할매닭발 한림점,2021-02-06,1
30년할매닭발 한림점,2021-02-20,1
미트서플라이,2021-05-01,2
아리아식당,2020-04-18,1
아리아식당,2021-04-10,1
아리아식당,2021-05-15,1
아리아식당,2021-12-11,1
맘스터치피자앤치킨신제주점,2020-08-08,1
맘스터치피자앤치킨신제주점,2021-03-27,1
이치진외도직영점,2020-07-04,1
이치진외도직영점,2021-05-08,1
열정국밥,2020-04-05,1
크로엔젤제주연동점,2020-07-25,1
크로엔젤제주연동점,2020-09-12,1
크로엔젤제주연동점,2021-04-03,1
크로엔젤제주연동점,2021-05-01,1
선하다선,2020-10-24,1
선하다선,2020-11-28,1
선하다선,2021-08-21,1
선하다선,2021-09-18,1
선하다선,2021-11-20,1
너와의첫여행,2020-08-22,1
너와의첫여행,2020-08-29,1
너와의첫여행,2020-09-26,1
너와의첫여행,2020-10-31,1
너와의첫여행,2020-11-14,1
너와의첫여행,2020-11-28,1
너와의첫여행,2020-12-19,1
너와의첫여행,2021-04-03,1
너와의첫여행,2021-04-10,1
너와의첫여행,2021-04-17,3
너와의첫여행,2021-04-24,2
너와의첫여행,2021-06-26,1
너와의첫여행,2021-08-14,1
너와의첫여행,2021-09-11,1
너와의첫여행,2021-10-09,2
너와의첫여행,2021-10-23,3
너와의첫여행,2021-11-06,1
너와의첫여행,2021-11-13,1
너와의첫여행,2021-11-20,1
너와의첫여행,2021-12-11,1
너와의첫여행,2021-12-25,1
스콜피온,2020-03-14,1
스콜피온,2020-07-18,1
스콜피온,2020-11-07,1
스콜피온,2021-03-13,1
스콜피온,2021-04-24,1
스콜피온,2021-05-01,1
스콜피온,2021-05-08,1
스콜피온,2021-06-26,1
스콜피온,2021-07-03,1
스콜피온,2021-09-18,1
스콜피온,2021-11-27,1
소인커피,2021-05-15,1
애월온기,2020-03-14,1
애월온기,2020-03-21,1
애월온기,2020-04-18,1
애월온기,2020-05-09,1
